"","BIC","delta","weights","dist25k","dist_continents","area_km2","w_mean_growing_season","max_elevation","w_mean_temperature_seasonality","w_mean_Seasonality_Precipitation","model_id","Nparam"
"72",27490.6465162486,37.819379141285,3.68724101793966e-09," "," ","X","X"," "," "," ",72,2
"73",27491.4369228397,38.6097857323621,2.48351573469273e-09," "," ","X"," "," "," ","X",73,2
"74",27492.4070699502,39.5799328428911,1.52898120721686e-09," ","X","X"," "," ","X"," ",74,3
"75",27493.0871946568,40.2600575494362,1.08821559143988e-09,"X"," ","X"," "," "," "," ",75,2
"76",27493.1858237355,40.3586866281476,1.03585248359357e-09," "," ","X"," "," ","X","X",76,3
"77",27493.3424732044,40.515336097058,9.57815612232291e-10," "," ","X","X"," ","X"," ",77,3
"78",27494.0536359633,41.2264988559727,6.71204532804534e-10," "," ","X","X"," "," "," ",78,2
"79",27495.0145798157,42.1874427083894,4.15134258432462e-10,"X"," ","X"," "," ","X"," ",79,3
"80",27495.496244763,42.6691076556199,3.2628443748996e-10," "," ","X"," "," "," ","X",80,2
"81",27495.773878964,42.9467418566855,2.83993800318433e-10,"X"," ","X","X"," "," "," ",81,3
"82",27495.7803665007,42.9532293933189,2.8307408270869e-10," ","X","X"," "," "," "," ",82,2
"83",27495.7861886219,42.9590515145283,2.82251235158942e-10,"X","X","X"," "," "," "," ",83,3
"84",27496.49167752,43.6645404126248,1.98353963693103e-10," "," ","X","X"," ","X","X",84,4
"85",27496.6773949812,43.8502578738735,1.80764377142154e-10,"X"," ","X"," "," "," ","X",85,3
"86",27497.3645170582,44.5373799508125,1.28205360988443e-10,"X"," ","X","X"," ","X"," ",86,4
"87",27497.4583900162,44.63125290881,1.22326889302301e-10," ","X","X"," "," ","X"," ",87,3
"88",27498.0566153892,45.2294782818681,9.07024342706397e-11," ","X","X","X"," "," "," ",88,3
"89",27498.0931540506,45.266016943242,8.90604065497179e-11,"X"," ","X"," "," ","X","X",89,4
"90",27498.193266942,45.3661298346415,8.47120974995143e-11," "," ","X","X"," "," ","X",90,3
"91",27498.7868897334,45.9597526260623,6.29566896036897e-11,"X","X","X"," "," ","X"," ",91,4
"92",27499.2758528723,46.4487157649892,4.9302039724084e-11," ","X","X"," "," "," ","X",92,3
"93",27499.421022698,46.5938855906825,4.58502449477375e-11," "," ","X","X"," ","X"," ",93,3
"94",27499.4335032809,46.6063661735388,4.55650169357628e-11," ","X","X","X"," ","X"," ",94,4
"95",27499.766660085,46.9395229776783,3.85733586421569e-11," "," ","X","X"," "," ","X",95,3
"96",27499.8294997535,47.0023626461079,3.73802321798495e-11,"X"," ","X","X"," "," "," ",96,3
"97",27499.8659511848,47.0388140774085,3.6705121572082e-11," "," ","X"," "," ","X","X",97,3
"98",27500.7733501945,47.946213087147,2.33177947632453e-11,"X","X","X"," "," "," "," ",98,3
"99",27500.9213351693,48.0941980619282,2.16547386424092e-11," ","X","X"," "," ","X","X",99,4
"100",27501.8915913677,49.0644542603513,1.33310540718964e-11,"X"," ","X"," "," "," ","X",100,3
"101",27502.1397129124,49.3125758050228,1.17756687681896e-11," ","X","X","X"," "," "," ",101,3
"102",27502.4407362367,49.6135991293413,1.01302274562025e-11,"X"," ","X","X"," ","X","X",102,5
"103",27503.9955867909,51.1684496835187,4.65572895518324e-12,"X"," ","X","X"," ","X"," ",103,4
"104",27503.9970986059,51.1699614985737,4.65221098441786e-12,"X","X","X"," "," ","X"," ",104,4
"105",27504.2322498812,51.4051127738057,4.13615639459666e-12,"X"," ","X"," "," ","X","X",105,4
"106",27504.4875790877,51.660441980297,3.64043196478703e-12," ","X","X"," "," "," ","X",106,3
"107",27504.6296514785,51.802514371102,3.39080091245734e-12,"X","X","X","X"," "," "," ",107,4
"108",27504.6679073903,51.84077028299,3.32655819664937e-12," ","X","X","X"," ","X","X",108,5
"109",27505.0985371296,52.2714000222404,2.68216237432509e-12,"X"," ","X","X"," "," ","X",109,4
"110",27505.1524366422,52.3252995348412,2.61084407381294e-12,"X","X","X"," "," "," ","X",110,4
"111",27505.4415647444,52.6144276370615,2.25942310600694e-12,"X"," ","X","X"," "," ","X",111,4
"112",27506.1810492505,53.3539121431786,1.56106341422568e-12," ","X","X","X"," ","X"," ",112,4
"113",27506.4283477345,53.6012106271883,1.37949573477427e-12,"X","X","X"," "," ","X","X",113,5
"114",27506.5599297498,53.7327926424041,1.29165845306426e-12," ","X","X"," "," ","X","X",114,4
"115",27506.6342740172,53.8071369098288,1.24452618288917e-12,"X","X","X","X"," ","X"," ",115,5
"116",27507.3778665072,54.5507293998744,8.58094227265706e-13," ","X","X","X"," "," ","X",116,4
"117",27507.3816885859,54.5545514784972,8.56455941377495e-13," ","X","X","X"," "," ","X",117,4
"118",27508.2698933771,55.4427562697783,5.49330618915229e-13,"X","X","X","X"," "," "," ",118,4
"119",27508.4960595027,55.6689223953545,4.9059425308715e-13,"X","X","X"," "," "," ","X",119,4
"120",27508.7322768466,55.9051397392468,4.35941798936017e-13," "," ","X","X"," ","X","X",120,4
"121",27510.94058177,58.1134446626638,1.44511094629971e-13,"X","X","X","X"," ","X","X",121,6
"122",27512.3789072486,59.5517701412427,7.04000198244882e-14,"X","X","X","X"," "," ","X",122,5
"123",27513.1139106971,60.2867735897344,4.87493478791281e-14,"X","X","X","X"," ","X"," ",123,5
