"Language_ID","boundness","boundness_st","ISO","Informativity","informativity_st","island_endemic","L1_pop","area","min_dist11k","min_dist25k","min_distCont"
"take1257",0.388888888888889,0.528718691218314,"tkm",0.32,0.178758946453892,FALSE,NA,9886.41718661785,0,0,0
"taku1257",0.188679245283019,-0.89469844414186,"nho",0.41304347826087,1.32268535238535,FALSE,1750,NA,0,0,0
"tama1365",0.545454545454545,1.64184308598117,"taq",0.448979591836735,1.76450319942162,FALSE,281200,630106.899538196,0,0,0
"tami1289",0.309090909090909,-0.0386156777253368,"tam",0.259259259259259,-0.568020285663354,FALSE,64470000,172258.599285066,0,0,0
"tane1237",0.0727272727272727,-1.71907444143185,"tnx",0.272727272727273,-0.402437307366847,TRUE,8,164.065739702433,986843.485627052,986843.485627052,1788741.37338826
"tang1334",0.1,-1.52517535331186,"txg",0.222222222222222,-1.02337347597875,FALSE,NA,NA,0,0,0
"tang1336",0.288461538461538,-0.185282936687887,"nmf",0.254901960784314,-0.621591249229871,FALSE,142000,2774.45226219483,0,0,0
"tang1347",0.16,-1.0985973594479,"tgp",0.275,-0.374495179779311,TRUE,800,15.957895969972,569961.338364069,569961.338364069,1795687.39942717
"tanz1241",0.5,1.31867793911454,"xnj",0.388888888888889,1.02571588044052,FALSE,NA,NA,0,0,0
"tara1313",0.326923076923077,0.0881644952761899,"tro",0.215686274509804,-1.10372992132852,FALSE,870,163.407807480544,0,0,0
"tari1256",0.695652173913043,2.70969313649701,"tae",0.66,4.35890123354921,FALSE,100,1444.0389262187,0,0,0
"tari1263",0.478260869565217,1.16412069496093,"rif",0.341463414634146,0.44264167332935,FALSE,1270000,15225.3154830636,0,0,0
"tata1255",0.436363636363636,0.866246733501245,"tat",0.270833333333333,-0.425722413689794,FALSE,4608800,69216.2560917865,0,0,0
"tata1257",0.319148936170213,0.0328932058366425,"txx",0.377777777777778,0.889109923345907,FALSE,0,114.75697442051,0,0,0
"taul1251",0.254901960784314,-0.423879225362425,"tuh",0.489795918367347,2.26632100099369,FALSE,2000,186.2697702921,0,0,0
"taus1251",0.339622641509434,0.178453741679423,"tsg",0.392156862745098,1.06589410311541,FALSE,1062000,7194.32814213447,0,0,0
"taus1253",0.372549019607843,0.412548213586516,"trr",0.232558139534884,-0.896298167053522,FALSE,1,1256.03583297296,0,0,0
