"LANG_ISO","area","L1_pop","Bordering_LR","IE","PC_Phoible","PC_Creanza","min_dist11k","min_dist25k","min_distCont","max_areakm2","in_Phoible","in_Creanza","macroarea","macroarea_Africa","macroarea_Australia","macroarea_Eurasia","macroarea_North America","macroarea_Papunesia","macroarea_South America","macroarea_NA"
"brb",10555.9363845829,32140,12,FALSE,31,NA,0,0,0,NA,FALSE,TRUE,"Eurasia",0,0,1,0,0,0,0
"brc",499.693697690032,NA,NA,FALSE,26,NA,0,0,0,NA,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"brd",142.603662632406,160,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"bre",12321.4943882431,206000,1,FALSE,153,35,0,0,0,NA,FALSE,FALSE,"Eurasia",0,0,1,0,0,0,0
"brf",1877.97550052556,120000,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"brg",120.447743957862,40,1,FALSE,18,18,0,0,0,NA,FALSE,FALSE,"South America",0,0,0,0,0,1,0
"brh",162171.106386185,4220000,6,FALSE,119,31,0,0,0,NA,FALSE,FALSE,"Eurasia",0,0,1,0,0,0,0
"bri",723.973769286094,32200,6,FALSE,31,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"brj",73.5454296320677,70,2,TRUE,NA,NA,538955.103851339,538955.103851339,1840918.20677633,452.601754624397,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"brk",81633.1248877011,0,1,FALSE,NA,34,0,0,0,NA,TRUE,FALSE,"Africa",1,0,0,0,0,0,0
"brl",18766.3371754694,15000,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"brm",8132.43066414038,25600,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"brn",131.885309948586,3,1,FALSE,NA,26,0,0,0,NA,TRUE,FALSE,"North America",0,0,0,1,0,0,0
"bro",22.5448042713106,300,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"brp",1327.31759046158,2500,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"brq",80.5089410352521,1100,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"brr",464.454737463966,5900,5,TRUE,NA,NA,931865.444645768,931865.444645768,1656238.33183412,5431.53767421842,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"brs",30.7475867823232,250,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"brt",399.777807200793,52300,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bru",7104.41274445131,82300,8,FALSE,NA,35,0,0,0,NA,TRUE,FALSE,"Eurasia",0,0,1,0,0,0,0
"brv",987.363505605608,20000,4,FALSE,42,NA,0,0,0,NA,FALSE,TRUE,"Eurasia",0,0,1,0,0,0,0
"brw",27159.3990272526,1000,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"brx",1534.6903145276,1334380,6,FALSE,21,22,0,0,0,NA,FALSE,FALSE,"Eurasia",0,0,1,0,0,0,0
"bry",70.5667228638195,260,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"brz",40.7677301550284,1250,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bsa",2427.44840363553,300,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bsb",932.295067824423,57600,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bsc",3507.90315779415,21900,6,FALSE,NA,42,0,0,0,NA,TRUE,FALSE,"Africa",1,0,0,0,0,0,0
"bse",82.8044759771437,25000,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bsf",750.581385291007,20000,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bsg",13010.4639580231,7030,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"bsh",6932.16615924425,18700,11,FALSE,NA,40,0,0,0,NA,TRUE,FALSE,"Eurasia",0,0,1,0,0,0,0
"bsi",1377.95862249902,5000,8,FALSE,34,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"bsj",125.651946095983,6000,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bsk",1679.24016124569,87000,6,FALSE,251,35,0,0,0,NA,FALSE,FALSE,"Eurasia",0,0,1,0,0,0,0
"bsl",2559.64312426833,0,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bsm",216.917846863624,700,3,TRUE,NA,NA,22739.9314345818,22739.9314345818,1105716.83797825,2333.6917424628,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bsn",3139.75210464955,1890,5,FALSE,17,21,0,0,0,NA,FALSE,FALSE,"South America",0,0,0,0,0,1,0
"bso",4414.40564515558,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"bsp",704.417900720262,4000,4,FALSE,26,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"bsq",12823.3712370292,403000,7,FALSE,36,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"bsr",2057.91134622996,20,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bss",1654.09820310329,100000,5,FALSE,76,28,0,0,0,NA,FALSE,FALSE,"Africa",1,0,0,0,0,0,0
"bst",1116.84849255485,92600,8,FALSE,NA,34,0,0,0,NA,TRUE,FALSE,"Africa",1,0,0,0,0,0,0
"bsu",25.7605881418567,200,2,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bsv",1021.55554032093,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"bsw",28.5566405530553,5480,1,FALSE,NA,34,0,0,0,NA,TRUE,FALSE,"Africa",1,0,0,0,0,0,0
"bsx",108.158830876346,100,1,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bsy",332.641130824573,0,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bta",2669.01726527209,152500,8,FALSE,NA,33,0,0,0,NA,TRUE,FALSE,"Africa",1,0,0,0,0,0,0
"btb",69149.7774914325,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"btc",401.02710921882,800,9,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"btd",3060.036437036,1200000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bte",1250.3879639681,15000,0,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"btf",7897.4473314723,10400,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"btg",2975.70437998336,150000,5,FALSE,51,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
"bth",1059.98244603921,72380,8,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bti",585.469195510261,100,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"btj",110.329850838869,NA,NA,TRUE,NA,NA,13876.4664849296,13876.4664849296,1229386.11596047,1881.10421054956,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"btl",17982.5186535567,NA,NA,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,1
"btm",14512.5134303303,1100000,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"btn",199.816519694403,2,2,TRUE,NA,NA,13542.8147169709,13542.8147169709,1124520.29950351,9931.21502584592,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bto",568.696375191212,234000,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"btp",1.46252467669547,310,0,TRUE,NA,NA,324029.427256241,324029.427256241,1102487.92658908,1.75283577665687,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"btq",7861.70570975821,1000,6,FALSE,NA,31,0,0,0,NA,TRUE,FALSE,"Eurasia",0,0,1,0,0,0,0
"btr",124.16667676717,1330,1,TRUE,NA,NA,668329.230807058,668329.230807058,1930176.30277902,304.223134761676,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bts",3559.15813113609,1200000,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"btt",280.073620865645,100000,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"btu",176.684706808825,25000,6,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"btv",4404.03809159249,29100,4,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Eurasia",0,0,1,0,0,0,0
"btw",1072.21607353259,34500,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"btx",8662.31045667408,600000,6,FALSE,24,NA,0,0,0,NA,FALSE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bty",1162.44449691987,4500,3,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"btz",2924.35420167656,195000,5,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Papunesia",0,0,0,0,1,0,0
"bub",6524.44069590303,7710,11,FALSE,NA,NA,0,0,0,NA,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"buc",373.266650067642,39000,1,TRUE,NA,NA,295300.731220607,295300.731220607,476781.054514949,378.632950612344,TRUE,TRUE,"Africa",1,0,0,0,0,0,0
"bud",2370.46707542659,157000,4,FALSE,103,NA,0,0,0,NA,FALSE,TRUE,"Africa",1,0,0,0,0,0,0
